date,home_team,away_team,home_goals,away_goals,season,venue
2020-08-13,Forge FC,Cavalry FC,2,0,2020,Tim Hortons Field
2020-08-13,Pacific FC,FC Edmonton,1,0,2020,Starlight Stadium
2020-08-15,York United FC,HFX Wanderers FC,2,1,2020,York Lions Stadium
2020-08-15,Valour FC,Atletico Ottawa,0,1,2020,IG Field
2020-08-16,Cavalry FC,Pacific FC,3,0,2020,ATCO Field
2020-08-16,HFX Wanderers FC,Forge FC,1,2,2020,Wanderers Grounds
2020-08-19,Atletico Ottawa,York United FC,1,1,2020,TD Place Stadium
2020-08-19,FC Edmonton,Valour FC,0,0,2020,Clarke Stadium
2020-08-20,Forge FC,Pacific FC,1,0,2020,Tim Hortons Field
2020-08-20,Cavalry FC,HFX Wanderers FC,2,1,2020,ATCO Field
2020-08-22,York United FC,Valour FC,1,0,2020,York Lions Stadium
2020-08-22,Atletico Ottawa,FC Edmonton,2,0,2020,TD Place Stadium
2020-08-23,HFX Wanderers FC,Pacific FC,1,1,2020,Wanderers Grounds
2020-08-23,Forge FC,Cavalry FC,0,0,2020,Tim Hortons Field
2020-08-25,Valour FC,York United FC,2,3,2020,IG Field
2020-08-25,FC Edmonton,Atletico Ottawa,1,2,2020,Clarke Stadium
2020-08-27,Pacific FC,Forge FC,0,1,2020,Starlight Stadium
2020-08-27,HFX Wanderers FC,Cavalry FC,0,2,2020,Wanderers Grounds
2020-08-29,York United FC,FC Edmonton,1,0,2020,York Lions Stadium
2020-08-29,Valour FC,Atletico Ottawa,1,1,2020,IG Field
2020-08-30,Cavalry FC,Pacific FC,2,1,2020,ATCO Field
2020-08-30,Forge FC,HFX Wanderers FC,3,0,2020,Tim Hortons Field
2020-09-01,Atletico Ottawa,Valour FC,0,0,2020,TD Place Stadium
2020-09-01,FC Edmonton,York United FC,1,2,2020,Clarke Stadium
