date,season,home_team,away_team,home_goals,away_goals,venue
2025-04-05,2025,Atlético Ottawa,HFX Wanderers,2,2,TD Place Stadium
2025-04-05,2025,Forge,Cavalry,1,0,Hamilton Stadium
2025-04-06,2025,Pacific,Valour,2,0,Starlight Stadium
2025-04-06,2025,Vancouver FC,Inter Toronto,0,2,Willoughby Community Park at the Langley Events Centre
2025-04-12,2025,Pacific,Forge,0,2,Starlight Stadium
2025-04-13,2025,Inter Toronto,HFX Wanderers,1,2,York Lions Stadium
2025-04-13,2025,Vancouver FC,Atlético Ottawa,1,4,Willoughby Community Park at the Langley Events Centre
2025-04-18,2025,Cavalry,Vancouver FC,1,1,ATCO Field
2025-04-19,2025,Atlético Ottawa,Inter Toronto,3,2,TD Place Stadium
2025-04-19,2025,HFX Wanderers,Pacific,3,1,Wanderers Grounds
2025-04-19,2025,Forge,Valour,1,1,Hamilton Stadium
2025-04-26,2025,Valour,HFX Wanderers,0,1,Princess Auto Stadium
2025-04-26,2025,Cavalry,Atlético Ottawa,1,3,ATCO Field
2025-04-27,2025,Inter Toronto,Forge,2,2,York Lions Stadium
2025-04-27,2025,Vancouver FC,Pacific,1,1,Willoughby Community Park at the Langley Events Centre
2025-05-03,2025,Inter Toronto,Cavalry,1,2,York Lions Stadium
2025-05-03,2025,Atlético Ottawa,Pacific,3,1,TD Place Stadium
2025-05-03,2025,HFX Wanderers,Forge,0,0,Wanderers Grounds
2025-05-03,2025,Valour,Vancouver FC,1,3,Princess Auto Stadium
2025-05-10,2025,Atlético Ottawa,Valour,5,2,TD Place Stadium
2025-05-10,2025,HFX Wanderers,Cavalry,0,3,Wanderers Grounds
2025-05-11,2025,Pacific,Inter Toronto,2,1,Starlight Stadium
2025-05-13,2025,Forge,Atlético Ottawa,2,2,Hamilton Stadium
2025-05-17,2025,Valour,Inter Toronto,2,1,Princess Auto Stadium
2025-05-17,2025,Cavalry,Pacific,4,0,ATCO Field
2025-05-18,2025,Vancouver FC,HFX Wanderers,0,2,Willoughby Community Park at the Langley Events Centre
2025-05-24,2025,Pacific,Forge,0,1,Starlight Stadium
2025-05-24,2025,HFX Wanderers,Atlético Ottawa,2,0,Wanderers Grounds
2025-05-25,2025,Cavalry,Valour,4,0,ATCO Field
2025-05-25,2025,Inter Toronto,Vancouver FC,1,0,York Lions Stadium
2025-05-31,2025,Vancouver FC,Atlético Ottawa,2,2,Willoughby Community Park at the Langley Events Centre
2025-05-31,2025,Forge,Cavalry,1,1,Hamilton Stadium
2025-05-31,2025,Inter Toronto,HFX Wanderers,2,0,Telus Stadium at Laval University
2025-06-01,2025,Valour,Pacific,0,0,Princess Auto Stadium
2025-06-04,2025,Valour,Vancouver FC,3,1,Princess Auto Stadium
2025-06-07,2025,Pacific,Atlético Ottawa,0,1,Starlight Stadium
2025-06-08,2025,Forge,HFX Wanderers,2,1,Hamilton Stadium
2025-06-08,2025,Cavalry,Inter Toronto,2,1,ATCO Field
2025-06-14,2025,HFX Wanderers,Cavalry,1,1,Wanderers Grounds
2025-06-14,2025,Pacific,Inter Toronto,1,3,Starlight Stadium
2025-06-15,2025,Vancouver FC,Forge,0,2,Willoughby Community Park at the Langley Events Centre
2025-06-15,2025,Atlético Ottawa,Valour,3,0,TD Place Stadium
2025-06-21,2025,HFX Wanderers,Vancouver FC,1,0,Wanderers Grounds
2025-06-22,2025,Cavalry,Pacific,1,0,ATCO Field
2025-06-22,2025,Inter Toronto,Atlético Ottawa,0,0,York Lions Stadium
2025-06-22,2025,Valour,Forge,0,5,Princess Auto Stadium
2025-06-28,2025,Pacific,Vancouver FC,4,4,Starlight Stadium
2025-06-28,2025,Cavalry,Atlético Ottawa,0,2,ATCO Field
2025-06-29,2025,Forge,Inter Toronto,2,2,Hamilton Stadium
2025-07-01,2025,HFX Wanderers,Valour,3,1,Wanderers Grounds
2025-07-05,2025,Forge,Vancouver FC,2,1,Hamilton Stadium
2025-07-12,2025,Atlético Ottawa,Forge,1,1,TD Place Stadium
2025-07-12,2025,Pacific,HFX Wanderers,3,2,Starlight Stadium
2025-07-13,2025,Inter Toronto,Valour,3,2,York Lions Stadium
2025-07-14,2025,Vancouver FC,Cavalry,0,0,Willoughby Community Park at the Langley Events Centre
2025-07-18,2025,Atlético Ottawa,HFX Wanderers,2,0,TD Place Stadium
2025-07-18,2025,Forge,Pacific,2,0,Hamilton Stadium
2025-07-19,2025,Inter Toronto,Vancouver FC,4,0,York Lions Stadium
2025-07-20,2025,Valour,Cavalry,1,2,Princess Auto Stadium
2025-07-25,2025,HFX Wanderers,Forge,1,2,Wanderers Grounds
2025-07-26,2025,Vancouver FC,Valour,1,3,Willoughby Community Park at the Langley Events Centre
2025-07-26,2025,Cavalry,Inter Toronto,0,1,ATCO Field
2025-07-27,2025,Pacific,Atlético Ottawa,0,2,Starlight Stadium
2025-07-30,2025,Valour,Cavalry,2,1,Princess Auto Stadium
2025-08-02,2025,Forge,Valour,5,0,Hamilton Stadium
2025-08-03,2025,Atlético Ottawa,Inter Toronto,0,0,TD Place Stadium
2025-08-04,2025,HFX Wanderers,Vancouver FC,1,2,Wanderers Grounds
2025-08-04,2025,Pacific,Cavalry,1,0,Starlight Stadium
2025-08-09,2025,Inter Toronto,Forge,1,2,York Lions Stadium
2025-08-09,2025,Cavalry,HFX Wanderers,0,0,ATCO Field
2025-08-10,2025,Valour,Atlético Ottawa,1,2,Princess Auto Stadium
2025-08-10,2025,Vancouver FC,Pacific,2,3,Willoughby Community Park at the Langley Events Centre
2025-08-16,2025,Pacific,HFX Wanderers,2,2,Starlight Stadium
2025-08-17,2025,Valour,Inter Toronto,0,0,Princess Auto Stadium
2025-08-17,2025,Forge,Atlético Ottawa,2,0,Hamilton Stadium
2025-08-17,2025,Cavalry,Vancouver FC,5,4,ATCO Field
2025-08-22,2025,HFX Wanderers,Valour,4,1,Wanderers Grounds
2025-08-23,2025,Vancouver FC,Forge,0,1,Willoughby Community Park at the Langley Events Centre
2025-08-23,2025,Atlético Ottawa,Cavalry,2,2,TD Place Stadium
2025-08-24,2025,Inter Toronto,Pacific,5,1,York Lions Stadium
2025-08-30,2025,Cavalry,Forge,4,1,ATCO Field
2025-08-30,2025,Atlético Ottawa,Vancouver FC,3,1,TD Place Stadium
2025-08-31,2025,Valour,Pacific,1,1,Princess Auto Stadium
2025-09-01,2025,HFX Wanderers,Inter Toronto,4,0,Wanderers Grounds
2025-09-05,2025,Inter Toronto,Cavalry,3,1,York Lions Stadium
