match_id,date,season,matchday,home_team,away_team,home_goals,away_goals,venue,status
cpl::Football_Match::57a2003b9552424f888f647c0986dd36,2025-04-05,2025,Matchday 1,Atlético Ottawa,HFX Wanderers,2,2,TD Place Stadium,FINISHED
cpl::Football_Match::87dd87a7b3164fdd9518536b8cafb318,2025-04-05,2025,Matchday 1,Forge,Cavalry,1,0,Hamilton Stadium,FINISHED
cpl::Football_Match::720269c150254b8d9f8321645c86cd68,2025-04-06,2025,Matchday 1,Pacific,Valour,2,0,Starlight Stadium,FINISHED
cpl::Football_Match::aa944b1d369b419297e9cd3c9289fce2,2025-04-06,2025,Matchday 1,Vancouver FC,Inter Toronto,0,2,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::be615c213a734c808e58502f2771022b,2025-04-12,2025,Matchday 2,Pacific,Forge,0,2,Starlight Stadium,FINISHED
cpl::Football_Match::2a9af9afd85e4ef8917944b634a5f0f6,2025-04-13,2025,Matchday 2,Inter Toronto,HFX Wanderers,1,2,York Lions Stadium,FINISHED
cpl::Football_Match::c79f0372e98a4eb6aac25f8786975f40,2025-04-13,2025,Matchday 2,Vancouver FC,Atlético Ottawa,1,4,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::e686a214ae124a268de0cc4c1b0b5ff7,2025-04-18,2025,Matchday 3,Cavalry,Vancouver FC,1,1,ATCO Field,FINISHED
cpl::Football_Match::909737f046414d90bfc37e675bc642a5,2025-04-19,2025,Matchday 3,Atlético Ottawa,Inter Toronto,3,2,TD Place Stadium,FINISHED
cpl::Football_Match::a80374a12ea54a5399d7c38f8e8e8dd3,2025-04-19,2025,Matchday 3,HFX Wanderers,Pacific,3,1,Wanderers Grounds,FINISHED
cpl::Football_Match::637f3c1abf59440381ee886ddb1738c2,2025-04-19,2025,Matchday 3,Forge,Valour,1,1,Hamilton Stadium,FINISHED
cpl::Football_Match::f879daee660e48d48dc1448735374bb2,2025-04-26,2025,Matchday 4,Valour,HFX Wanderers,0,1,Princess Auto Stadium,FINISHED
cpl::Football_Match::7061d88031b54a70a9dacf31ead3bb36,2025-04-26,2025,Matchday 4,Cavalry,Atlético Ottawa,1,3,ATCO Field,FINISHED
cpl::Football_Match::b59fc174355e4841a6ca31c12dafc775,2025-04-27,2025,Matchday 4,Inter Toronto,Forge,2,2,York Lions Stadium,FINISHED
cpl::Football_Match::4660e23fadfc445e85a5373353aad722,2025-04-27,2025,Matchday 4,Vancouver FC,Pacific,1,1,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::ea502d79da5f4bc89f4b7898cc63d2d0,2025-05-03,2025,Matchday 5,Inter Toronto,Cavalry,1,2,York Lions Stadium,FINISHED
cpl::Football_Match::d81444f8f6104d67a4d43151beb96f08,2025-05-03,2025,Matchday 5,Atlético Ottawa,Pacific,3,1,TD Place Stadium,FINISHED
cpl::Football_Match::4332034c6ea14248891eb3d2a2e5e741,2025-05-03,2025,Matchday 5,HFX Wanderers,Forge,0,0,Wanderers Grounds,FINISHED
cpl::Football_Match::1a03d90233904c11a4becc2278a4c2f9,2025-05-03,2025,Matchday 5,Valour,Vancouver FC,1,3,Princess Auto Stadium,FINISHED
cpl::Football_Match::14ef953ace194b4f8f25d94ad5010b58,2025-05-10,2025,Matchday 6,Atlético Ottawa,Valour,5,2,TD Place Stadium,FINISHED
cpl::Football_Match::76400a77251c4b638496a3f4fa208950,2025-05-10,2025,Matchday 6,HFX Wanderers,Cavalry,0,3,Wanderers Grounds,FINISHED
cpl::Football_Match::df264a96984c4a86b79ef7b33e82581f,2025-05-11,2025,Matchday 6,Pacific,Inter Toronto,2,1,Starlight Stadium,FINISHED
cpl::Football_Match::48dc8887d9df4a80b810192a50d97c80,2025-05-13,2025,Matchday 7,Forge,Atlético Ottawa,2,2,Hamilton Stadium,FINISHED
cpl::Football_Match::0dec4cd8708346878933353e41ef3fc0,2025-05-17,2025,Matchday 7,Valour,Inter Toronto,2,1,Princess Auto Stadium,FINISHED
cpl::Football_Match::8e7970bb5475444abaf920b4c2e81afa,2025-05-17,2025,Matchday 7,Cavalry,Pacific,4,0,ATCO Field,FINISHED
cpl::Football_Match::3d35f7a8d59c4361965cadd993746120,2025-05-18,2025,Matchday 7,Vancouver FC,HFX Wanderers,0,2,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::dde57ee914d44027b08b40c7d176c94e,2025-05-24,2025,Matchday 8,Pacific,Forge,0,1,Starlight Stadium,FINISHED
cpl::Football_Match::5fe4fe54a3ee43c58c898184639cfd90,2025-05-24,2025,Matchday 8,HFX Wanderers,Atlético Ottawa,2,0,Wanderers Grounds,FINISHED
cpl::Football_Match::81cc4368e94c449eb7cf64fc65d8e9ac,2025-05-25,2025,Matchday 8,Cavalry,Valour,4,0,ATCO Field,FINISHED
cpl::Football_Match::7be67341807b4468a125064cd718d506,2025-05-25,2025,Matchday 8,Inter Toronto,Vancouver FC,1,0,York Lions Stadium,FINISHED
cpl::Football_Match::ed32a62ff47541b6b9fb9f495db81018,2025-05-31,2025,Matchday 9,Vancouver FC,Atlético Ottawa,2,2,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::754500fc98d342d7a3e213614808d578,2025-05-31,2025,Matchday 9,Forge,Cavalry,1,1,Hamilton Stadium,FINISHED
cpl::Football_Match::55dd22fb8ef748dab0589ae93045d779,2025-05-31,2025,Matchday 9,Inter Toronto,HFX Wanderers,2,0,Telus Stadium at Laval University,FINISHED
cpl::Football_Match::12a85d73fd0a4c4c9e8844ff4d904ae1,2025-06-01,2025,Matchday 9,Valour,Pacific,0,0,Princess Auto Stadium,FINISHED
cpl::Football_Match::c9d875067767420985a72e946a901f43,2025-06-04,2025,Matchday 10,Valour,Vancouver FC,3,1,Princess Auto Stadium,FINISHED
cpl::Football_Match::983c8b259c9e4efbb91637ae98051ea1,2025-06-07,2025,Matchday 10,Pacific,Atlético Ottawa,0,1,Starlight Stadium,FINISHED
cpl::Football_Match::dd64b6a6bc3a42b1afbc5c08cd5da70f,2025-06-08,2025,Matchday 10,Forge,HFX Wanderers,2,1,Hamilton Stadium,FINISHED
cpl::Football_Match::7500d4eb3ede4754b5afd7e15465c0f6,2025-06-08,2025,Matchday 10,Cavalry,Inter Toronto,2,1,ATCO Field,FINISHED
cpl::Football_Match::7e68584ebb7940a9ad5655efcaf03f4a,2025-06-14,2025,Matchday 11,HFX Wanderers,Cavalry,1,1,Wanderers Grounds,FINISHED
cpl::Football_Match::8f2204b3f0ac49d49413190d45220ec0,2025-06-14,2025,Matchday 11,Pacific,Inter Toronto,1,3,Starlight Stadium,FINISHED
cpl::Football_Match::8bbfd5e7008944b1a6cebcb5cadf939a,2025-06-15,2025,Matchday 11,Vancouver FC,Forge,0,2,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::77f3a00d48ed4708ae9f81dda54fd5d4,2025-06-15,2025,Matchday 11,Atlético Ottawa,Valour,3,0,TD Place Stadium,FINISHED
cpl::Football_Match::8f45627034b54826870e724c5e7c474f,2025-06-21,2025,Matchday 12,HFX Wanderers,Vancouver FC,1,0,Wanderers Grounds,FINISHED
cpl::Football_Match::9831a9c602194b0ea5d12d0c55676c5b,2025-06-22,2025,Matchday 12,Cavalry,Pacific,1,0,ATCO Field,FINISHED
cpl::Football_Match::5b4bc9e1d63d4d6bb266d64dc1affc6e,2025-06-22,2025,Matchday 12,Inter Toronto,Atlético Ottawa,0,0,York Lions Stadium,FINISHED
cpl::Football_Match::468fbffe9ea742b1a8a234fa51816114,2025-06-22,2025,Matchday 12,Valour,Forge,0,5,Princess Auto Stadium,FINISHED
