match_id,season_id,competition,date,season,matchday,home_team,away_team,home_goals,away_goals,venue,status
cpl::Football_Match::c3e37172e9d44bfc843a2c3e34e88e8a,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-04-27,2019,,Forge,Inter Toronto,1,1,Hamilton Stadium,FINISHED
cpl::Football_Match::915061649620421d90f6241f6c967fb4,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-04-28,2019,,Pacific,HFX Wanderers,1,0,Starlight Stadium,FINISHED
cpl::Football_Match::58425bd7c1bf401ebab8057a5cbca1a2,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-01,2019,,Pacific,Valour,1,2,Starlight Stadium,FINISHED
cpl::Football_Match::db1665dfd9944ba5b0ca00558af93a83,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-04,2019,,HFX Wanderers,Forge,2,1,Wanderers Grounds,FINISHED
cpl::Football_Match::1164949fde8545a2808c53e6b6fbb7e0,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-04,2019,,Cavalry,Inter Toronto,2,1,ATCO Field,FINISHED
cpl::Football_Match::eba9b93556504498a4a35606d7fc6a6d,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-04,2019,,Valour,Edmonton,1,2,Princess Auto Stadium,FINISHED
cpl::Football_Match::df3f3b434b814a1e830fa3a5e3ad58ad,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-08,2019,,Forge,Pacific,3,0,Hamilton Stadium,FINISHED
cpl::Football_Match::d10c8ac32f9b44cf9ccb661d819966b0,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-08,2019,,Cavalry,Valour,1,0,ATCO Field,FINISHED
cpl::Football_Match::a0becc8452f348078297ad49cef9154e,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-11,2019,,Valour,HFX Wanderers,1,0,Princess Auto Stadium,FINISHED
cpl::Football_Match::382129f376f048f5ba09a465ee22e520,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-12,2019,,Forge,Cavalry,1,2,Hamilton Stadium,FINISHED
cpl::Football_Match::1e8bd90891074b0496972c64a0b0a91a,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-12,2019,,Edmonton,Pacific,0,0,Clarke Field,FINISHED
cpl::Football_Match::e7484a5db2894ffd84dc340b43d399e9,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-16,2019,,Valour,Forge,0,2,Princess Auto Stadium,FINISHED
cpl::Football_Match::f23a05c36dde42508b8e9ce336fc7944,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-18,2019,,Pacific,Inter Toronto,2,2,Starlight Stadium,FINISHED
cpl::Football_Match::e28070d927a940ab8b3c932301d8d106,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-18,2019,,Cavalry,Edmonton,1,0,ATCO Field,FINISHED
cpl::Football_Match::8b145cad21614b8fb4915f907b6cf6f2,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-25,2019,,Inter Toronto,Forge,0,2,York Lions Stadium,FINISHED
cpl::Football_Match::b6d742365ca74e13a2e0e3a92dc73799,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-25,2019,,Cavalry,HFX Wanderers,2,0,ATCO Field,FINISHED
cpl::Football_Match::f2bf7b4adf144c208ccb109ef0280625,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-29,2019,,HFX Wanderers,Inter Toronto,1,1,Wanderers Grounds,FINISHED
cpl::Football_Match::cfc2c74a1156418684f0d3bf157ed3a3,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-05-29,2019,,Forge,Edmonton,2,0,Hamilton Stadium,FINISHED
cpl::Football_Match::f9d223d163194b5097828b9ced0a4478,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-01,2019,,HFX Wanderers,Pacific,2,1,Wanderers Grounds,FINISHED
cpl::Football_Match::4f41e5cd129e4047946db028487e21c5,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-02,2019,,Edmonton,Valour,0,1,Clarke Field,FINISHED
cpl::Football_Match::7d866c88a93c4b32ae5ffd31db4f460d,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-15,2019,,Inter Toronto,Pacific,1,0,York Lions Stadium,FINISHED
cpl::Football_Match::3685729d9208411ca8fac05b02eedc7b,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-15,2019,,Edmonton,Cavalry,0,3,Clarke Field,FINISHED
cpl::Football_Match::52b9a64e6e2d443fb8147a2972ab12c4,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-15,2019,,Forge,Valour,2,1,Hamilton Stadium,FINISHED
cpl::Football_Match::b1ed1275f1bf4606b2b63b155695c443,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-19,2019,,HFX Wanderers,Cavalry,1,2,Wanderers Grounds,FINISHED
cpl::Football_Match::7330deb561f4497f8b589620ff325864,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-19,2019,,Inter Toronto,Edmonton,0,0,York Lions Stadium,FINISHED
cpl::Football_Match::d11aad66239f495c8bda449d6a3628cf,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-20,2019,,Valour,Pacific,1,2,Princess Auto Stadium,FINISHED
cpl::Football_Match::55c048e723c146c59d343a6649b05610,cpl::Football_Season::c8c9bdc288f34aa89073a8bd89d2da3e,cpl,2019-06-22,2019,,Inter Toronto,HFX Wanderers,0,0,York Lions Stadium,FINISHED
