match_id,season_id,season,date,home_team,away_team,attendance,phase,additional_time,win_reason,home_red_cards,away_red_cards,home_scorers,away_scorers
cpl::Football_Match::cf2e47f5b5c74e0189e0c36f7dfe3198,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-13,Atlético,Inter Toronto,4049,FULL_TIME,5,RegularTime,0,0,"M. Aparicio(63),K. Twardek(79)",A. Ricci(48)
cpl::Football_Match::363bac1af6364f0eab72a667c60fa865,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-13,Forge,Cavalry,7395,FULL_TIME,7,RegularTime,0,0,"T. Borges(70),B. Badibanga(76)",S. Camargo(60)
cpl::Football_Match::030730d1752042449526212b073750fc,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-13,Pacific,Wanderers,4367,FULL_TIME,4,RegularTime,0,0,,
cpl::Football_Match::5d125a802bc44add943bec3bd8332cd3,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-14,Vancouver,Valour,4038,FULL_TIME,3,RegularTime,0,1,"M. Dyer(45),P. Gee(47),Gabriel Bitar(53),D. Norman(67)",J. Swibel(24)
cpl::Football_Match::26f5b91757d7450a824981dc10f047ab,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-18,Vancouver,Wanderers,2702,FULL_TIME,4,RegularTime,0,0,"R. Romeo(17),A. Díaz(52)",
cpl::Football_Match::8dc2787eefd34335a35d2412a12cdabc,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-19,Pacific,Valour,2851,FULL_TIME,5,RegularTime,0,0,"J. Heard(47),S. Young(79)",
cpl::Football_Match::2ed726d650c24c8a8480c5363a26ad2b,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-20,Atlético,Cavalry,4569,FULL_TIME,4,Draw,0,0,A. Đidić(47),
cpl::Football_Match::0920417613364b898ed1c1bf61d2699b,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-21,Inter Toronto,Forge,2654,FULL_TIME,4,RegularTime,0,0,,"D. Choinière(45),D. Choinière(67),B. Badibanga(61)"
cpl::Football_Match::a65960c57b934ddc9e543a135fd8b2a8,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-26,Inter Toronto,Vancouver,843,FULL_TIME,5,RegularTime,0,0,"B. Wright(70),B. Wright(90),D. Salanović(83)",
cpl::Football_Match::a8d00a9dc1094bc18ebb89b1662d6b78,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-27,Wanderers,Atlético,6500,FULL_TIME,5,RegularTime,1,0,R. Ferrazzo(89),"R. del Campo(39),M. Aparicio(56),B. Tabla(73)"
cpl::Football_Match::88a7521caa814fb285b84dd7a53eecc5,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-27,Forge,Valour,3051,FULL_TIME,6,RegularTime,0,0,"T. Borges(61),N. Jensen(90)",J. Faria(65)
cpl::Football_Match::7878f475f880471c8989ca349b15dd7f,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-28,Cavalry,Pacific,4183,FULL_TIME,6,Draw,0,0,,
cpl::Football_Match::55c65124fbb44377976243f6f95dbcf5,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-05-03,Cavalry,Vancouver,2876,FULL_TIME,6,RegularTime,0,0,"T. Warschewski(26),C. Trafford(38)",M. Dyer(81)
cpl::Football_Match::599cdbde55ab4d08bcd8aeca0621b529,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-05-04,Pacific,Inter Toronto,2161,FULL_TIME,4,RegularTime,0,0,R. Moore(15),
cpl::Football_Match::b36158f459b34976a8ef7335f41becb3,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-05-05,Atlético,Valour,3886,FULL_TIME,3,RegularTime,0,0,"R. del Campo(19),G. Antinoro(32)",
cpl::Football_Match::53a3a8ed266f4bd999041ee8a23ce902,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-05-10,Inter Toronto,Valour,1049,FULL_TIME,6,RegularTime,0,0,"N. Abatneh(68),B. Wright(74),Mo Babouli(90)",D. Campbell(15)
cpl::Football_Match::68919b5dbd96440e8bf3586d17db3754,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-05-11,Wanderers,Cavalry,5544,FULL_TIME,5,Draw,0,0,G. Probo(78),W. Akio(58)
cpl::Football_Match::7662127dcf2c4accacb414e67ae0dab8,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-05-11,Pacific,Forge,2322,FULL_TIME,7,Draw,1,0,,
cpl::Football_Match::fbeb5b51cbcb4b859154d09d37dcda02,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-05-12,Vancouver,Atlético,2612,FULL_TIME,5,Draw,0,0,A. Díaz(68),R. del Campo(56)
