match_id,season_id,season,date,home_team,away_team,home_goals,away_goals,has_data,home_possession_pct,away_possession_pct,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_big_chances,away_big_chances,home_chances_created,away_chances_created,home_xg_api,away_xg_api,home_passes,away_passes,home_pass_accuracy_pct,away_pass_accuracy_pct,home_corners,away_corners,home_crosses,away_crosses,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_offsides,away_offsides,home_saves,away_saves,home_clearances,away_clearances,home_duels_won,away_duels_won,home_tackles,away_tackles,home_tackles_successful,away_tackles_successful,home_key_passes,away_key_passes,home_penalty_goals,away_penalty_goals,home_own_goals,away_own_goals,home_touches_opp_box,away_touches_opp_box,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_counter_attacks,away_counter_attacks,home_goals,away_goals,home_xg_calc,away_xg_calc
cpl::Football_Match::cf2e47f5b5c74e0189e0c36f7dfe3198,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-13,Atlético,Inter Toronto,2,1,1,49,51,10,14,5,5,7,7,3,7,0,2,3,4,5,7,0,0,362,371,76,76,3,7,17,26,18,7,3,4,0,0,0,0,4,3,19,20,40,49,17,14,12,8,5,7,0,0,0,0,0,0,0,0,0,1,2,1,1.18,1.3
cpl::Football_Match::363bac1af6364f0eab72a667c60fa865,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-13,Forge,Cavalry,2,1,1,55,45,8,9,2,1,4,8,4,1,1,1,0,1,7,8,0,0,494,402,82,81,2,4,10,16,13,11,3,1,0,0,0,0,0,0,10,12,56,56,28,24,15,14,7,8,0,0,0,0,0,0,0,0,0,0,2,1,0.7,1.04
cpl::Football_Match::030730d1752042449526212b073750fc,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-13,Pacific,Wanderers,1,0,1,41,59,4,13,4,2,3,11,1,2,0,2,1,1,2,12,0,0,416,582,84,86,1,8,7,34,16,9,3,1,0,0,2,0,2,3,32,9,37,59,11,17,6,12,2,12,1,0,0,0,0,0,0,0,0,0,1,0,0.59,1.48
cpl::Football_Match::5d125a802bc44add943bec3bd8332cd3,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-14,Vancouver,Valour,4,1,1,61,39,18,9,7,3,10,6,8,3,6,1,4,1,12,9,0,0,499,320,88,79,9,3,27,13,14,17,3,1,0,1,0,0,2,3,8,21,48,45,13,6,4,4,12,9,0,0,0,0,0,0,0,0,1,0,4,1,1.79,0.96
cpl::Football_Match::26f5b91757d7450a824981dc10f047ab,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-18,Vancouver,Wanderers,2,0,1,46,54,15,14,6,3,9,8,6,6,2,4,4,1,7,9,0,0,410,494,80,84,5,5,13,19,13,8,4,0,0,0,1,2,3,4,19,19,47,53,16,16,10,13,7,9,0,0,0,0,0,0,0,0,1,0,2,0,1.56,1.29
cpl::Football_Match::8dc2787eefd34335a35d2412a12cdabc,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-19,Pacific,Valour,2,0,1,52,48,17,7,8,2,10,3,7,4,4,0,4,0,10,3,0,0,551,493,83,79,3,4,12,23,10,22,2,5,0,0,1,1,2,5,22,13,71,51,20,23,15,19,10,3,0,0,0,0,0,0,0,0,0,1,2,0,1.81,0.58
cpl::Football_Match::2ed726d650c24c8a8480c5363a26ad2b,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-20,Atlético,Cavalry,1,1,1,40,60,6,16,2,7,5,12,1,4,1,4,2,1,6,14,0,0,375,544,76,85,3,8,10,33,10,12,4,0,0,0,1,2,7,1,29,21,55,45,19,13,10,9,6,14,0,0,1,0,0,0,0,0,2,1,1,1,0.73,1.91
cpl::Football_Match::0920417613364b898ed1c1bf61d2699b,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-21,Inter Toronto,Forge,0,3,1,47,53,9,17,4,6,3,10,6,7,3,5,0,5,6,14,0,0,434,495,85,87,11,5,24,18,9,9,2,4,0,0,1,1,3,4,18,25,42,56,23,19,12,15,6,14,0,0,0,0,0,0,0,0,0,0,0,3,0.74,1.71
cpl::Football_Match::a65960c57b934ddc9e543a135fd8b2a8,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-26,Inter Toronto,Vancouver,3,0,1,52,48,16,10,6,2,11,5,5,5,3,3,5,0,12,8,0,0,464,429,84,79,10,5,21,15,7,12,2,3,0,0,4,1,2,3,12,21,47,41,15,17,5,11,12,8,0,0,0,0,0,0,0,0,3,0,3,0,1.77,0.85
cpl::Football_Match::a8d00a9dc1094bc18ebb89b1662d6b78,cpl::Football_Season::6fb9e6fae4f24ce9bf4fa3172616a762,2024,2024-04-27,Wanderers,Atlético,1,3,1,45,55,12,15,5,8,8,9,4,6,4,2,2,4,10,12,0,0,393,479,78,87,5,3,16,11,11,16,1,2,1,0,0,1,5,4,11,15,47,43,15,17,13,8,10,12,0,0,0,0,0,0,0,0,0,2,1,3,1.33,1.66
