date,home_team,away_team,bookmaker,market,handicap,odds_home,odds_draw,odds_away,captured_at
2026-04-04,Forge FC,Atletico Ottawa,bet365,1x2,,1.8,3.4,3.75,2026-03-30T20:13:26.482204+00:00
2026-04-04,Vancouver FC,HFX Wanderers FC,bet365,1x2,,2.75,3.3,2.25,2026-03-30T20:13:26.540905+00:00
2026-04-05,Pacific FC,Cavalry FC,bet365,1x2,,4.1,3.5,1.7,2026-03-30T20:13:26.598932+00:00
2026-04-18,Forge FC,Cavalry FC,bet365,1x2,,1.9,3.3,3.5,2026-04-16T00:00:00+00:00
2026-04-18,HFX Wanderers FC,Pacific FC,bet365,1x2,,1.61,3.5,4.5,2026-04-16T00:00:00+00:00
2026-04-19,FC Supra,Atletico Ottawa,bet365,1x2,,3.8,3.6,1.72,2026-04-16T00:00:00+00:00
2026-04-19,York United FC,Vancouver FC,bet365,1x2,,1.53,3.9,4.75,2026-04-16T00:00:00+00:00
2026-04-24,FC Supra,HFX Wanderers FC,pinnacle,1x2,,2.73,3.33,2.35,2026-04-23T00:00:00+00:00
2026-04-24,FC Supra,HFX Wanderers FC,pinnacle,ah,0.0,2.05,,1.76,2026-04-23T00:00:00+00:00
2026-04-25,Cavalry FC,York United FC,pinnacle,1x2,,1.8,3.4,4.11,2026-04-23T00:00:00+00:00
2026-04-25,Cavalry FC,York United FC,pinnacle,ah,0.0,1.334,,3.07,2026-04-23T00:00:00+00:00
2026-04-26,Atletico Ottawa,Vancouver FC,pinnacle,1x2,,2.14,3.24,3.17,2026-04-23T00:00:00+00:00
2026-04-26,Atletico Ottawa,Vancouver FC,pinnacle,ah,0.0,1.565,,2.35,2026-04-23T00:00:00+00:00
2026-04-26,Pacific FC,Forge FC,pinnacle,1x2,,4.9,3.77,1.606,2026-04-23T00:00:00+00:00
2026-04-26,Pacific FC,Forge FC,pinnacle,ah,0.0,3.68,,1.224,2026-04-23T00:00:00+00:00
2026-04-24,FC Supra,HFX Wanderers FC,pinnacle,ah,0.0,2.04,,1.741,2026-04-24T15:01:29Z
2026-04-25,Cavalry FC,York United FC,pinnacle,1x2,,1.741,3.48,4.34,2026-04-24T15:01:29Z
2026-04-26,Atletico Ottawa,Vancouver FC,pinnacle,1x2,,2.14,3.24,3.17,2026-04-24T15:01:29Z
2026-05-23,HFX Wanderers FC,York United FC,pinnacle,1x2,,2.59,3.41,2.43,2026-05-24T01:35:31.033318+00:00
2026-05-23,HFX Wanderers FC,York United FC,pinnacle,ah,0.0,1.962,,1.833,2026-05-24T01:35:31.033318+00:00
2026-05-24,Atletico Ottawa,Forge FC,pinnacle,1x2,,3.56,3.03,2.05,2026-05-24T01:35:31.033318+00:00
2026-05-24,Atletico Ottawa,Forge FC,pinnacle,ah,0.0,2.58,,1.465,2026-05-24T01:35:31.033318+00:00
2026-05-23,Vancouver FC,FC Supra,pinnacle,1x2,,1.787,3.92,3.8,2026-05-24T01:37:35.385183+00:00
2026-05-23,Vancouver FC,FC Supra,pinnacle,ah,0.0,1.377,,2.94,2026-05-24T01:37:35.385183+00:00
2026-05-24,Cavalry FC,Pacific FC,pinnacle,1x2,,1.526,4.11,5.02,2026-05-24T01:39:42.569942+00:00
2026-05-30,HFX Wanderers FC,Vancouver FC,bet365,1x2,,2.58,3.23,2.53,2026-05-28T13:30:00+00:00
2026-05-30,HFX Wanderers FC,Vancouver FC,bet365,ah,0.0,1.9091,,1.8772,2026-05-28T13:30:00+00:00
2026-05-30,Pacific FC,Atletico Ottawa,bet365,1x2,,3.8,3.61,1.813,2026-05-28T13:30:00+00:00
2026-05-30,Pacific FC,Atletico Ottawa,bet365,ah,0.0,2.89,,1.3717,2026-05-28T13:30:00+00:00
2026-05-31,Forge FC,Cavalry FC,bet365,1x2,,2.15,2.8,3.71,2026-05-28T13:30:00+00:00
2026-05-31,Forge FC,Cavalry FC,bet365,ah,0.0,1.4739,,2.59,2026-05-28T13:30:00+00:00
